1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.11,0.69,0.91,2.02,3.01,3.05,3.62,3.62,3.3,2.96,2.22,0.63,0.2,0.02,0.0,0.0,0.0,0.0,0.0,26.4,1
0.0,0.0,0.0,0.0,0.0,0.17,0.75,1.58,2.32,2.96,3.46,3.69,3.69,3.52,2.9,1.2,0.65,0.08,0.02,0.0,0.0,0.0,0.0,0.0,27.0,2
0.0,0.0,0.0,0.0,0.0,0.12,0.72,1.58,2.17,2.79,2.55,3.69,3.66,3.4,2.92,2.16,1.44,0.59,0.03,0.0,0.0,0.0,0.0,0.0,27.8,3
0.0,0.0,0.0,0.0,0.0,0.13,0.78,1.59,2.34,2.99,3.45,3.69,3.67,3.43,2.99,2.06,1.51,0.22,0.03,0.0,0.0,0.0,0.0,0.0,28.9,4
0.0,0.0,0.0,0.0,0.0,0.12,0.78,1.59,2.35,3.0,3.47,3.71,3.69,3.44,2.97,2.24,0.85,0.21,0.04,0.0,0.0,0.0,0.0,0.0,28.5,5
0.0,0.0,0.0,0.0,0.0,0.13,0.77,1.58,2.33,2.97,3.44,3.69,3.68,3.43,2.94,2.11,1.52,0.4,0.03,0.0,0.0,0.0,0.0,0.0,29.0,6
0.0,0.0,0.0,0.0,0.0,0.12,0.76,1.56,2.32,2.98,3.45,3.7,3.69,3.45,2.85,2.27,1.48,0.28,0.05,0.0,0.0,0.0,0.0,0.0,29.0,7
0.0,0.0,0.0,0.0,0.0,0.09,0.56,1.77,2.33,2.98,3.45,3.73,3.81,3.48,3.06,2.12,0.37,0.18,0.02,0.0,0.0,0.0,0.0,0.0,28.0,8
0.0,0.0,0.0,0.0,0.0,0.04,0.59,1.57,2.33,2.98,3.45,3.69,3.69,3.43,2.97,1.6,1.47,0.55,0.06,0.0,0.0,0.0,0.0,0.0,28.4,9
0.0,0.0,0.0,0.0,0.0,0.12,0.75,1.54,2.31,2.95,3.43,3.68,3.67,3.42,2.83,2.08,0.28,0.07,0.01,0.0,0.0,0.0,0.0,0.0,27.1,10
0.0,0.0,0.0,0.0,0.0,0.11,0.59,1.53,2.32,2.97,3.45,3.7,3.7,3.44,2.48,1.7,0.77,0.24,0.03,0.0,0.0,0.0,0.0,0.0,27.0,11
0.0,0.0,0.0,0.0,0.0,0.1,0.66,1.15,1.98,2.63,3.17,3.61,3.5,3.06,2.41,1.8,1.18,0.33,0.05,0.0,0.0,0.0,0.0,0.0,25.6,12
0.0,0.0,0.0,0.0,0.0,0.09,0.56,0.62,1.79,2.93,3.43,3.7,3.71,3.18,1.64,1.83,0.65,0.15,0.02,0.0,0.0,0.0,0.0,0.0,24.3,13
0.0,0.0,0.0,0.0,0.0,0.08,0.69,1.54,2.31,2.99,3.41,3.64,3.76,3.48,2.82,2.09,0.79,0.59,0.09,0.0,0.0,0.0,0.0,0.0,28.3,14
0.0,0.0,0.0,0.0,0.0,0.08,0.52,1.41,2.1,2.95,3.23,3.57,3.66,3.37,2.94,2.15,1.12,0.28,0.06,0.0,0.0,0.0,0.0,0.0,27.4,15
0.0,0.0,0.0,0.0,0.0,0.11,0.73,1.54,2.31,2.95,3.44,3.71,3.69,3.44,2.93,2.0,1.15,0.11,0.02,0.0,0.0,0.0,0.0,0.0,28.1,16
0.0,0.0,0.0,0.0,0.0,0.1,0.57,1.38,2.29,2.95,3.42,3.68,3.67,3.43,2.97,1.72,1.15,0.38,0.02,0.0,0.0,0.0,0.0,0.0,27.7,17
0.0,0.0,0.0,0.0,0.0,0.11,0.73,1.54,2.31,2.96,3.43,3.68,3.68,3.42,2.95,2.29,1.47,0.4,0.03,0.0,0.0,0.0,0.0,0.0,29.0,18
