序號,答案
20240117090001,0.0
20240117091001,129.78088
20240117092001,174.31075
20240117093001,191.67493
20240117094001,368.21335
20240117095001,205.35474
20240117100001,262.21558
20240117101001,153.90128
20240117102001,256.74158
20240117103001,163.46924
20240117104001,255.70834
20240117105001,42.36067
20240117110001,299.13077
20240117111001,312.23346
20240117112001,328.0094
20240117113001,449.03024
20240117114001,390.46475
20240117115001,548.5045
20240117120001,485.52216
20240117121001,658.1368
20240117122001,773.46875
20240117123001,800.43243
20240117124001,687.00836
20240117125001,768.3798
20240117130001,586.28094
20240117131001,681.6491
20240117132001,729.1846
20240117133001,561.6466
20240117134001,605.73395
20240117135001,335.7338
20240117140001,382.06467
20240117141001,309.72958
20240117142001,263.41605
20240117143001,141.84337
20240117144001,199.85147
20240117145001,43.332638
20240117150001,0.0
20240117151001,0.0
20240117152001,0.0
20240117153001,0.0
20240117154001,0.0
20240117155001,0.0
20240117160001,0.0
20240117161001,0.0
20240117162001,0.0
20240117163001,0.0
20240117164001,0.0
20240117165001,0.0
20240119090001,0.0
20240119091001,40.41087
20240119092001,188.26543
20240119093001,187.13242
20240119094001,167.09691
20240119095001,173.62683
20240119100001,73.115
20240119101001,0.0
20240119102001,152.30933
20240119103001,0.0
20240119104001,167.20161
20240119105001,0.0
20240119110001,209.05434
20240119111001,362.8687
20240119112001,388.35416
20240119113001,762.7003
20240119114001,689.394
20240119115001,987.5681
20240119120001,963.85077
20240119121001,1087.9851
20240119122001,1090.7402
20240119123001,1067.6678
20240119124001,905.67114
20240119125001,1109.303
20240119130001,743.5089
20240119131001,937.739
20240119132001,951.4538
20240119133001,747.5107
20240119134001,592.73206
20240119135001,516.0938
20240119140001,558.74
20240119141001,463.20862
20240119142001,279.9715
20240119143001,206.09758
20240119144001,227.83032
20240119145001,0.0
20240119150001,0.0
20240119151001,0.0
20240119152001,0.0
20240119153001,0.0
20240119154001,0.0
20240119155001,0.0
20240119160001,0.0
20240119161001,0.0
20240119162001,0.0
20240119163001,0.0
20240119164001,0.0
20240119165001,0.0
20240224090001,723.5948
20240224091001,696.58856
20240224092001,909.52765
20240224093001,859.21106
20240224094001,1081.6177
20240224095001,878.54974
20240224100001,766.9294
20240224101001,650.36194
20240224102001,1081.8812
20240224103001,554.24365
20240224104001,729.47644
20240224105001,565.0784
20240224110001,788.09174
20240224111001,832.95935
20240224112001,857.54486
20240224113001,1206.6089
20240224114001,1114.5189
20240224115001,1184.7983
20240224120001,1177.1829
20240224121001,1371.3623
20240224122001,1420.4777
20240224123001,1420.2693
20240224124001,1283.1357
20240224125001,1565.0198
20240224130001,1237.7107
20240224131001,1360.4019
20240224132001,1427.4548
20240224133001,1129.0836
20240224134001,1152.9773
20240224135001,840.0807
20240224140001,969.8888
20240224141001,674.9745
20240224142001,660.08685
20240224143001,647.4184
20240224144001,621.67755
20240224145001,293.3314
20240224150001,197.74173
20240224151001,34.13551
20240224152001,0.0
20240224153001,121.841286
20240224154001,89.100395
20240224155001,132.54518
20240224160001,95.08514
20240224161001,17.95454
20240224162001,39.021496
20240224163001,0.0
20240224164001,6.134685
20240224165001,37.029552
20240226090001,262.35968
20240226091001,594.19635
20240226092001,489.79843
20240226093001,343.1744
20240226094001,307.75656
20240226095001,448.4034
20240226100001,360.6861
20240226101001,215.59122
20240226102001,405.96277
20240226103001,310.00507
20240226104001,334.2435
20240226105001,82.12307
20240226110001,379.30505
20240226111001,225.44524
20240226112001,232.80827
20240226113001,344.3333
20240226114001,391.049
20240226115001,559.42145
20240226120001,456.1781
20240226121001,546.20044
20240226122001,706.35925
20240226123001,731.2143
20240226124001,773.9888
20240226125001,1140.6965
20240226130001,705.06885
20240226131001,817.1032
20240226132001,854.96484
20240226133001,626.21783
20240226134001,801.4225
20240226135001,291.68045
20240226140001,36.749065
20240226141001,0.0
20240226142001,0.0
20240226143001,0.0
20240226144001,0.0
20240226145001,0.0
20240226150001,0.0
20240226151001,0.0
20240226152001,0.0
20240226153001,0.0
20240226154001,177.52177
20240226155001,250.73706
20240226160001,234.06003
20240226161001,0.0
20240226162001,0.0
20240226163001,0.0
20240226164001,0.0
20240226165001,0.0
20240327090001,0.0
20240327091001,17.223797
20240327092001,67.52795
20240327093001,0.0
20240327094001,106.12632
20240327095001,76.92036
20240327100001,155.1024
20240327101001,45.234646
20240327102001,109.91187
20240327103001,44.64285
20240327104001,71.88807
20240327105001,0.0
20240327110001,0.0
20240327111001,0.0
20240327112001,0.0
20240327113001,85.565025
20240327114001,118.51829
20240327115001,142.3436
20240327120001,144.77733
20240327121001,198.22844
20240327122001,382.92325
20240327123001,256.6625
20240327124001,273.97272
20240327125001,348.3441
20240327130001,268.0277
20240327131001,344.67047
20240327132001,406.4454
20240327133001,311.60458
20240327134001,443.82065
20240327135001,172.6011
20240327140001,141.94006
20240327141001,87.141136
20240327142001,108.79871
20240327143001,90.16183
20240327144001,62.083157
20240327145001,10.589061
20240327150001,0.0
20240327151001,0.0
20240327152001,0.0
20240327153001,14.651927
20240327154001,29.837963
20240327155001,91.13976
20240327160001,59.596172
20240327161001,0.0
20240327162001,0.0
20240327163001,0.0
20240327164001,0.0
20240327165001,0.0
20240329090001,107.66537
20240329091001,185.61615
20240329092001,301.68286
20240329093001,155.62764
20240329094001,233.23634
20240329095001,199.00752
20240329100001,167.641
20240329101001,87.69764
20240329102001,207.63268
20240329103001,0.0
20240329104001,66.01995
20240329105001,17.746105
20240329110001,111.257805
20240329111001,197.93715
20240329112001,148.26407
20240329113001,346.08865
20240329114001,366.34344
20240329115001,589.20374
20240329120001,426.03397
20240329121001,520.40784
20240329122001,557.5385
20240329123001,536.4971
20240329124001,480.221
20240329125001,648.7698
20240329130001,400.45157
20240329131001,484.996
20240329132001,584.869
20240329133001,418.86227
20240329134001,427.46866
20240329135001,206.93036
20240329140001,256.8173
20240329141001,127.84402
20240329142001,0.0
20240329143001,38.8101
20240329144001,0.0
20240329145001,0.0
20240329150001,0.0
20240329151001,0.0
20240329152001,0.0
20240329153001,0.0
20240329154001,0.0
20240329155001,0.0
20240329160001,0.0
20240329161001,0.0
20240329162001,0.0
20240329163001,0.0
20240329164001,0.0
20240329165001,0.0
20240428090001,229.23422
20240428091001,254.7089
20240428092001,444.3428
20240428093001,248.76654
20240428094001,182.47552
20240428095001,266.01355
20240428100001,190.60892
20240428101001,34.09013
20240428102001,265.8464
20240428103001,167.92232
20240428104001,141.99858
20240428105001,168.90662
20240428110001,299.64752
20240428111001,341.0607
20240428112001,336.63483
20240428113001,437.79218
20240428114001,373.89035
20240428115001,454.65845
20240428120001,295.99008
20240428121001,386.22736
20240428122001,374.77768
20240428123001,448.3637
20240428124001,412.45847
20240428125001,410.6344
20240428130001,466.54672
20240428131001,478.4786
20240428132001,516.15607
20240428133001,459.56747
20240428134001,436.7244
20240428135001,243.68535
20240428140001,236.833
20240428141001,82.68882
20240428142001,43.093655
20240428143001,112.75875
20240428144001,19.850994
20240428145001,0.0
20240428150001,0.0
20240428151001,0.0
20240428152001,0.0
20240428153001,49.194897
20240428154001,45.98405
20240428155001,136.44702
20240428160001,35.727795
20240428161001,0.0
20240428162001,0.0
20240428163001,0.0
20240428164001,92.58465
20240428165001,0.0
20240430090001,250.1833
20240430091001,284.41452
20240430092001,365.21518
20240430093001,166.32552
20240430094001,270.4907
20240430095001,253.51941
20240430100001,247.53792
20240430101001,195.47786
20240430102001,287.23874
20240430103001,60.688473
20240430104001,167.77728
20240430105001,15.546336
20240430110001,179.52107
20240430111001,220.40758
20240430112001,146.01079
20240430113001,349.90762
20240430114001,319.23938
20240430115001,525.49066
20240430120001,376.08096
20240430121001,469.56757
20240430122001,639.62415
20240430123001,544.5451
20240430124001,576.8333
20240430125001,713.75494
20240430130001,541.87213
20240430131001,552.70874
20240430132001,725.68646
20240430133001,568.32153
20240430134001,867.50525
20240430135001,366.9267
20240430140001,480.00134
20240430141001,202.6976
20240430142001,236.92734
20240430143001,225.40747
20240430144001,138.50816
20240430145001,107.92046
20240430150001,89.44207
20240430151001,0.0
20240430152001,0.0
20240430153001,13.591289
20240430154001,198.27425
20240430155001,244.49225
20240430160001,210.16708
20240430161001,49.11665
20240430162001,0.0
20240430163001,0.0
20240430164001,29.47572
20240430165001,0.0
20240515090001,266.89716
20240515091001,347.6317
20240515092001,423.4525
20240515093001,415.05267
20240515094001,667.67676
20240515095001,508.8458
20240515100001,513.7644
20240515101001,394.3524
20240515102001,520.3149
20240515103001,405.33673
20240515104001,572.0691
20240515105001,333.20187
20240515110001,457.4409
20240515111001,593.6814
20240515112001,486.33643
20240515113001,654.02454
20240515114001,696.598
20240515115001,693.44025
20240515120001,689.482
20240515121001,846.04333
20240515122001,872.0499
20240515123001,893.00726
20240515124001,757.8892
20240515125001,857.6898
20240515130001,705.4821
20240515131001,779.8137
20240515132001,875.48376
20240515133001,775.072
20240515134001,803.354
20240515135001,560.99493
20240515140001,569.9712
20240515141001,579.10956
20240515142001,506.36734
20240515143001,485.06754
20240515144001,490.37335
20240515145001,345.9811
20240515150001,94.47883
20240515151001,0.0
20240515152001,47.713192
20240515153001,135.40414
20240515154001,69.589714
20240515155001,103.15446
20240515160001,0.0
20240515161001,0.0
20240515162001,0.0
20240515163001,0.0
20240515164001,20.561321
20240515165001,0.0
20240520090001,456.81216
20240520091001,629.01434
20240520092001,634.4485
20240520093001,495.56567
20240520094001,640.9512
20240520095001,648.29
20240520100001,515.6342
20240520101001,382.31534
20240520102001,471.16492
20240520103001,591.6102
20240520104001,362.83414
20240520105001,250.9574
20240520110001,525.5304
20240520111001,436.0564
20240520112001,457.80362
20240520113001,507.4663
20240520114001,479.322
20240520115001,405.52173
20240520120001,359.7439
20240520121001,337.5685
20240520122001,423.40265
20240520123001,559.7825
20240520124001,518.60834
20240520125001,633.5044
20240520130001,517.87537
20240520131001,491.68738
20240520132001,582.5566
20240520133001,542.8943
20240520134001,579.3901
20240520135001,319.9104
20240520140001,255.52328
20240520141001,231.06718
20240520142001,49.693996
20240520143001,125.37409
20240520144001,36.585155
20240520145001,51.395916
20240520150001,0.0
20240520151001,0.0
20240520152001,0.0
20240520153001,0.0
20240520154001,0.0
20240520155001,3.7494004
20240520160001,0.0
20240520161001,0.0
20240520162001,0.0
20240520163001,0.0
20240520164001,0.0
20240520165001,0.0
20240613090001,30.345684
20240613091001,12.949779
20240613092001,98.43957
20240613093001,46.770992
20240613094001,56.689556
20240613095001,68.44921
20240613100001,0.0
20240613101001,0.0
20240613102001,62.109066
20240613103001,27.45454
20240613104001,40.40974
20240613105001,1.4289659
20240613110001,83.07856
20240613111001,100.3543
20240613112001,126.5196
20240613113001,172.77682
20240613114001,156.57643
20240613115001,197.44337
20240613120001,182.37839
