序號,答案
20240117090001,59.583447
20240117091001,70.343605
20240117092001,67.95043
20240117093001,72.35938
20240117094001,72.685814
20240117095001,66.90748
20240117100001,66.71363
20240117101001,62.852886
20240117102001,63.675945
20240117103001,65.71276
20240117104001,68.0816
20240117105001,64.83849
20240117110001,65.36773
20240117111001,64.29714
20240117112001,64.51598
20240117113001,64.614876
20240117114001,63.480495
20240117115001,61.492275
20240117120001,59.64616
20240117121001,57.737057
20240117122001,56.24293
20240117123001,54.77046
20240117124001,53.953274
20240117125001,52.274456
20240117130001,50.299755
20240117131001,48.030895
20240117132001,45.72613
20240117133001,42.49345
20240117134001,40.312298
20240117135001,37.597363
20240117140001,34.21571
20240117141001,31.491192
20240117142001,28.668713
20240117143001,25.59309
20240117144001,23.57777
20240117145001,21.568493
20240117150001,28.746746
20240117151001,27.781658
20240117152001,26.509777
20240117153001,26.221691
20240117154001,26.119854
20240117155001,26.390484
20240117160001,27.851116
20240117161001,30.50169
20240117162001,31.84541
20240117163001,33.426586
20240117164001,33.730053
20240117165001,29.981548
20240119090001,463.1927
20240119091001,901.9542
20240119092001,787.6904
20240119093001,849.4286
20240119094001,919.2964
20240119095001,1000.9163
20240119100001,1030.2986
20240119101001,1024.375
20240119102001,1027.5028
20240119103001,971.20044
20240119104001,975.42505
20240119105001,978.2318
20240119110001,1001.70276
20240119111001,1014.0769
20240119112001,1014.335
20240119113001,1001.8644
20240119114001,988.7346
20240119115001,980.69464
20240119120001,991.28406
20240119121001,990.32666
20240119122001,992.5077
20240119123001,977.84235
20240119124001,964.5232
20240119125001,941.4847
20240119130001,927.2745
20240119131001,903.7309
20240119132001,880.1062
20240119133001,844.8137
20240119134001,820.13617
20240119135001,782.6062
20240119140001,741.9054
20240119141001,700.69305
20240119142001,647.30176
20240119143001,583.24884
20240119144001,536.05383
20240119145001,470.51694
20240119150001,552.85114
20240119151001,500.88126
20240119152001,449.4236
20240119153001,407.3098
20240119154001,398.8721
20240119155001,391.48413
20240119160001,413.66705
20240119161001,426.71408
20240119162001,421.5658
20240119163001,437.662
20240119164001,428.7505
20240119165001,458.4076
20240224090001,46.85478
20240224091001,67.195305
20240224092001,66.83131
20240224093001,72.161
20240224094001,74.766014
20240224095001,81.35517
20240224100001,87.85233
20240224101001,86.59196
20240224102001,85.05749
20240224103001,79.66845
20240224104001,80.087425
20240224105001,79.10638
20240224110001,79.60084
20240224111001,80.048256
20240224112001,81.15717
20240224113001,81.51995
20240224114001,81.70623
20240224115001,81.26426
20240224120001,81.097725
20240224121001,78.19123
20240224122001,78.68624
20240224123001,78.27659
20240224124001,80.59075
20240224125001,80.72993
20240224130001,78.31237
20240224131001,76.00164
20240224132001,72.27328
20240224133001,70.73089
20240224134001,70.83556
20240224135001,71.44706
20240224140001,69.00184
20240224141001,65.10151
20240224142001,60.117657
20240224143001,54.71092
20240224144001,51.68452
20240224145001,45.166454
20240224150001,49.523266
20240224151001,44.684093
20240224152001,39.461132
20240224153001,35.96208
20240224154001,35.748425
20240224155001,34.721355
20240224160001,34.233715
20240224161001,35.53648
20240224162001,38.623302
20240224163001,39.29655
20240224164001,38.440166
20240224165001,40.606747
20240226090001,21.056225
20240226091001,41.930798
20240226092001,44.45579
20240226093001,45.049847
20240226094001,47.32211
20240226095001,49.922024
20240226100001,52.299374
20240226101001,51.045925
20240226102001,56.461163
20240226103001,53.14755
20240226104001,51.77728
20240226105001,53.18237
20240226110001,56.99316
20240226111001,58.97424
20240226112001,60.345226
20240226113001,60.0715
20240226114001,59.688854
20240226115001,59.85719
20240226120001,59.956524
20240226121001,59.2216
20240226122001,56.994778
20240226123001,54.93571
20240226124001,53.467953
20240226125001,50.31828
20240226130001,47.837505
20240226131001,44.352795
20240226132001,41.29922
20240226133001,37.9503
20240226134001,36.56883
20240226135001,33.976818
20240226140001,32.397167
20240226141001,30.868298
20240226142001,29.278728
20240226143001,26.391216
20240226144001,24.767864
20240226145001,22.435528
20240226150001,28.246014
20240226151001,24.430157
20240226152001,21.114819
20240226153001,19.434704
20240226154001,18.560497
20240226155001,19.199017
20240226160001,18.732128
20240226161001,17.602459
20240226162001,20.584057
20240226163001,20.063152
20240226164001,20.29948
20240226165001,22.097485
20240327090001,221.21953
20240327091001,0.0
20240327092001,181.95969
20240327093001,300.52066
20240327094001,373.76657
20240327095001,350.31177
20240327100001,422.19656
20240327101001,510.12662
20240327102001,369.4477
20240327103001,328.1744
20240327104001,346.6189
20240327105001,305.38943
20240327110001,268.05734
20240327111001,236.30789
20240327112001,211.80702
20240327113001,185.69426
20240327114001,164.35712
20240327115001,151.03828
20240327120001,148.01662
20240327121001,144.13293
20240327122001,139.9602
20240327123001,134.38843
20240327124001,128.34744
