序號,答案
20240117090001,62.475292
20240117091001,98.91219
20240117092001,88.52184
20240117093001,98.98298
20240117094001,79.92768
20240117095001,83.3722
20240117100001,95.036415
20240117101001,92.67458
20240117102001,97.77833
20240117103001,93.15717
20240117104001,105.457954
20240117105001,106.86872
20240117110001,108.365654
20240117111001,115.39567
20240117112001,120.74528
20240117113001,95.44413
20240117114001,105.64965
20240117115001,112.335365
20240117120001,112.69482
20240117121001,98.11822
20240117122001,108.03539
20240117123001,83.594536
20240117124001,85.69059
20240117125001,76.45936
20240117130001,80.268684
20240117131001,75.06097
20240117132001,50.247997
20240117133001,62.11273
20240117134001,45.152966
20240117135001,52.27566
20240117140001,52.30923
20240117141001,67.4354
20240117142001,46.11793
20240117143001,27.563335
20240117144001,15.9149275
20240117145001,2.450847
20240117150001,9.533122
20240117151001,5.159435
20240117152001,19.078594
20240117153001,8.4557905
20240117154001,18.500042
20240117155001,33.09419
20240117160001,6.3827014
20240117161001,21.702068
20240117162001,14.047069
20240117163001,0.0
20240117164001,4.227306
20240117165001,10.71046
20240119090001,228.95786
20240119091001,246.75032
20240119092001,283.89917
20240119093001,332.20602
20240119094001,597.1632
20240119095001,632.166
20240119100001,605.1579
20240119101001,752.8018
20240119102001,537.7187
20240119103001,999.3619
20240119104001,900.0421
20240119105001,971.84644
20240119110001,997.0543
20240119111001,1077.758
20240119112001,988.6289
20240119113001,1136.5652
20240119114001,1288.4248
20240119115001,1130.3593
20240119120001,1195.5295
20240119121001,1151.3447
20240119122001,1210.5942
20240119123001,1087.9408
20240119124001,1156.4598
20240119125001,1228.1368
20240119130001,1300.3203
20240119131001,1364.3752
20240119132001,1079.8107
20240119133001,1106.0946
20240119134001,1176.7888
20240119135001,1012.3534
20240119140001,1004.7489
20240119141001,981.819
20240119142001,925.22986
20240119143001,976.2376
20240119144001,739.3238
20240119145001,611.45197
20240119150001,568.8672
20240119151001,585.95197
20240119152001,431.36166
20240119153001,569.959
20240119154001,437.5023
20240119155001,422.4803
20240119160001,332.77634
20240119161001,279.65717
20240119162001,230.31445
20240119163001,218.52641
20240119164001,123.33932
20240119165001,192.66014
20240224090001,62.794445
20240224091001,92.150505
20240224092001,91.243904
20240224093001,100.20254
20240224094001,72.606895
20240224095001,105.87342
20240224100001,81.866554
20240224101001,92.189156
20240224102001,94.22845
20240224103001,117.613
20240224104001,88.10134
20240224105001,88.2288
20240224110001,122.11964
20240224111001,112.404625
20240224112001,88.740364
20240224113001,121.86581
20240224114001,121.28106
