序號,答案
20240117090001,446.7161
20240117091001,613.2962
20240117092001,489.81464
20240117093001,339.35504
20240117094001,446.74176
20240117095001,249.76888
20240117100001,352.21515
20240117101001,203.9988
20240117102001,217.11313
20240117103001,205.95009
20240117104001,436.63284
20240117105001,440.3441
20240117110001,424.13675
20240117111001,340.85614
20240117112001,278.8907
20240117113001,240.05096
20240117114001,193.09248
20240117115001,191.61317
20240117120001,82.06399
20240117121001,0.0
20240117122001,0.0
20240117123001,0.0
20240117124001,0.0
20240117125001,50.863552
20240117130001,0.0
20240117131001,87.86564
20240117132001,17.660412
20240117133001,0.0
20240117134001,92.03399
20240117135001,136.98868
20240117140001,262.23596
20240117141001,94.71519
20240117142001,90.244606
20240117143001,138.61806
20240117144001,87.689354
20240117145001,0.0
20240117150001,0.0
20240117151001,0.0
20240117152001,0.0
20240117153001,0.0
20240117154001,0.0
20240117155001,0.0
20240117160001,0.0
20240117161001,0.0
20240117162001,0.0
20240117163001,120.32865
20240117164001,80.11117
20240117165001,301.04196
20240119090001,987.09125
20240119091001,975.3495
20240119092001,1158.9569
20240119093001,847.0029
20240119094001,1101.0369
20240119095001,1032.0631
20240119100001,985.7504
20240119101001,902.81824
20240119102001,918.81946
20240119103001,846.3391
20240119104001,1037.867
20240119105001,987.15485
20240119110001,950.78174
20240119111001,925.893
20240119112001,828.54297
20240119113001,922.6929
20240119114001,774.24817
20240119115001,1142.4054
20240119120001,841.09283
20240119121001,842.5786
20240119122001,811.7995
20240119123001,746.8407
20240119124001,581.4918
20240119125001,687.44604
20240119130001,943.49786
20240119131001,918.0066
20240119132001,738.47516
20240119133001,557.72235
20240119134001,585.47186
20240119135001,487.34204
20240119140001,198.20995
20240119141001,231.4123
20240119142001,408.40384
20240119143001,420.23135
20240119144001,339.16068
20240119145001,249.24744
20240119150001,331.4475
20240119151001,319.86917
20240119152001,325.4409
20240119153001,197.28699
20240119154001,203.93124
20240119155001,275.5389
20240119160001,117.36739
20240119161001,155.34401
20240119162001,0.0
20240119163001,119.83457
20240119164001,282.44263
20240119165001,289.0471
20240224090001,791.2813
20240224091001,668.6523
20240224092001,598.6249
20240224093001,316.67377
20240224094001,398.01065
20240224095001,426.56717
20240224100001,600.18207
20240224101001,357.1747
20240224102001,550.6006
20240224103001,494.12585
20240224104001,862.73224
20240224105001,786.5605
20240224110001,662.44354
20240224111001,847.8435
20240224112001,906.64954
20240224113001,1187.4635
20240224114001,1032.5941
20240224115001,1558.7836
20240224120001,1233.4607
20240224121001,1094.4365
20240224122001,1124.3445
20240224123001,834.4045
20240224124001,580.44696
20240224125001,655.7402
20240224130001,948.5081
20240224131001,1167.758
20240224132001,495.6873
20240224133001,435.5706
20240224134001,466.85925
20240224135001,517.6181
20240224140001,551.77026
20240224141001,329.65063
20240224142001,271.1338
20240224143001,151.91447
20240224144001,109.41892
20240224145001,123.20533
20240224150001,240.0343
20240224151001,62.105846
20240224152001,183.5709
20240224153001,76.8066
20240224154001,81.72785
20240224155001,0.0
20240224160001,41.54098
20240224161001,208.92079
20240224162001,4.692241
20240224163001,152.14983
20240224164001,219.64003
20240224165001,311.82645
20240226090001,813.4834
20240226091001,1031.0029
20240226092001,820.1597
20240226093001,652.4534
20240226094001,680.14923
20240226095001,930.3427
20240226100001,764.9563
20240226101001,812.5329
20240226102001,852.54706
20240226103001,737.7281
20240226104001,971.3505
20240226105001,1049.0214
20240226110001,818.6828
20240226111001,529.39355
20240226112001,550.0452
20240226113001,385.51495
20240226114001,213.17252
20240226115001,461.12735
20240226120001,767.2893
20240226121001,449.98572
20240226122001,423.41962
20240226123001,554.9544
20240226124001,475.92822
20240226125001,459.92096
20240226130001,401.7094
20240226131001,304.2506
20240226132001,0.0
20240226133001,141.25854
20240226134001,302.0783
20240226135001,265.92502
20240226140001,192.93172
20240226141001,159.30981
20240226142001,107.63567
20240226143001,58.942226
20240226144001,14.743327
20240226145001,95.831856
20240226150001,0.0
20240226151001,8.887706
20240226152001,48.811184
20240226153001,0.0
20240226154001,0.0
20240226155001,0.0
20240226160001,0.0
20240226161001,0.0
20240226162001,0.0
20240226163001,0.0
20240226164001,0.0
20240226165001,0.0
20240327090001,859.6672
20240327091001,960.60315
20240327092001,885.87524
20240327093001,686.20074
20240327094001,794.3602
20240327095001,775.668
20240327100001,840.73376
20240327101001,644.1895
20240327102001,650.51697
20240327103001,596.64575
20240327104001,824.8253
20240327105001,816.6811
20240327110001,614.172
20240327111001,584.6068
20240327112001,449.15872
20240327113001,356.72888
20240327114001,355.36908
20240327115001,358.07642
20240327120001,331.68274
20240327121001,208.6386
20240327122001,256.1044
20240327123001,75.0093
20240327124001,40.69421
20240327125001,75.159676
20240327130001,298.78607
20240327131001,443.35892
20240327132001,235.27544
20240327133001,103.328865
20240327134001,221.24663
20240327135001,213.69649
20240327140001,166.53145
20240327141001,8.909404
20240327142001,82.82014
20240327143001,133.62611
20240327144001,94.61657
20240327145001,0.0
20240327150001,0.0
20240327151001,0.0
20240327152001,177.52815
20240327153001,62.463604
20240327154001,73.72338
20240327155001,91.03188
20240327160001,0.0
20240327161001,0.0
20240327162001,0.0
20240327163001,0.0
20240327164001,0.0
20240327165001,70.661
20240329090001,924.9678
20240329091001,945.4246
20240329092001,1068.0865
20240329093001,733.0914
20240329094001,863.6216
20240329095001,799.67255
20240329100001,929.3659
20240329101001,763.08527
20240329102001,735.9919
20240329103001,694.59625
20240329104001,925.27954
20240329105001,903.1565
20240329110001,761.66736
20240329111001,666.14984
20240329112001,543.0122
20240329113001,483.7347
20240329114001,440.14633
20240329115001,667.2596
20240329120001,556.9078
20240329121001,504.49826
20240329122001,521.0439
20240329123001,397.05905
20240329124001,268.97253
20240329125001,218.48112
20240329130001,452.24622
20240329131001,512.01276
20240329132001,352.68405
20240329133001,149.24419
20240329134001,312.90024
20240329135001,158.26614
20240329140001,57.719585
20240329141001,64.29505
20240329142001,91.85891
20240329143001,67.264015
20240329144001,95.1233
20240329145001,39.10301
20240329150001,118.53712
20240329151001,89.65092
20240329152001,139.62227
20240329153001,81.64466
20240329154001,32.68046
20240329155001,140.06647
20240329160001,0.0
20240329161001,5.484264
20240329162001,0.0
20240329163001,22.393505
20240329164001,46.6703
20240329165001,60.05128
20240428090001,284.4203
20240428091001,350.0189
20240428092001,151.54713
20240428093001,72.314964
20240428094001,116.47764
20240428095001,195.8971
20240428100001,377.55713
20240428101001,49.758053
20240428102001,253.7792
20240428103001,204.74997
20240428104001,266.92004
20240428105001,175.96036
20240428110001,263.78564
20240428111001,332.4053
20240428112001,398.8411
20240428113001,424.3082
20240428114001,291.43854
20240428115001,462.11597
20240428120001,463.36594
20240428121001,208.48827
20240428122001,358.42606
20240428123001,401.28387
20240428124001,200.57199
20240428125001,127.16691
20240428130001,212.78233
20240428131001,185.56819
20240428132001,0.0
20240428133001,0.0
20240428134001,10.023448
20240428135001,52.61349
20240428140001,72.65327
20240428141001,0.0
20240428142001,0.0
20240428143001,1.8105882
20240428144001,0.0
20240428145001,0.0
20240428150001,0.0
20240428151001,0.0
20240428152001,0.0
20240428153001,0.0
20240428154001,0.0
20240428155001,0.0
20240428160001,0.0
20240428161001,0.0
20240428162001,0.0
20240428163001,54.602825
20240428164001,70.85122
20240428165001,77.88911
20240430090001,1164.9379
20240430091001,1121.0149
20240430092001,1354.5288
20240430093001,1226.0952
20240430094001,1321.7114
20240430095001,1378.5602
20240430100001,1240.773
20240430101001,1333.2411
20240430102001,1329.4056
20240430103001,1267.9984
20240430104001,1384.5815
20240430105001,1329.3616
20240430110001,1137.5482
20240430111001,1051.1836
20240430112001,964.27435
20240430113001,738.95044
20240430114001,671.0322
20240430115001,921.39716
20240430120001,992.9322
20240430121001,817.1612
20240430122001,852.8136
20240430123001,729.74243
20240430124001,596.518
20240430125001,585.5399
20240430130001,832.6219
20240430131001,729.46045
20240430132001,576.99634
20240430133001,461.0259
20240430134001,454.99466
20240430135001,500.48193
20240430140001,349.17197
20240430141001,231.82655
20240430142001,101.59464
20240430143001,234.83133
20240430144001,216.82726
20240430145001,32.690655
20240430150001,28.78355
20240430151001,0.0
20240430152001,68.36776
20240430153001,0.0
20240430154001,0.0
20240430155001,40.34184
20240430160001,0.0
20240430161001,0.0
20240430162001,0.0
20240430163001,0.0
20240430164001,0.0
20240430165001,0.0
20240515090001,782.1963
20240515091001,896.12445
20240515092001,979.2534
20240515093001,789.6149
20240515094001,893.30695
20240515095001,791.8842
20240515100001,727.7309
20240515101001,661.02637
20240515102001,673.9957
20240515103001,578.0846
20240515104001,858.5305
20240515105001,797.94366
20240515110001,630.90485
20240515111001,659.6849
20240515112001,580.47406
20240515113001,373.55154
20240515114001,462.9868
20240515115001,616.88635
20240515120001,570.6421
20240515121001,486.1392
20240515122001,470.12967
20240515123001,386.2438
20240515124001,278.87714
20240515125001,411.6536
20240515130001,468.5629
20240515131001,643.9822
20240515132001,553.27576
20240515133001,396.319
20240515134001,371.4812
20240515135001,401.19266
20240515140001,369.3754
20240515141001,179.96239
20240515142001,233.21893
20240515143001,205.69862
20240515144001,215.3574
20240515145001,59.773952
20240515150001,52.819546
20240515151001,0.0
20240515152001,178.40782
20240515153001,82.11541
20240515154001,141.20648
20240515155001,149.31273
20240515160001,54.630566
20240515161001,69.677055
20240515162001,94.16569
20240515163001,267.21353
20240515164001,216.07962
20240515165001,333.8946
20240520090001,968.4093
20240520091001,1050.7844
20240520092001,1090.0275
20240520093001,1020.0014
20240520094001,1071.93
20240520095001,1178.5557
20240520100001,1152.8179
20240520101001,1096.1221
20240520102001,1228.3431
20240520103001,1058.4355
20240520104001,1204.1082
20240520105001,1039.766
20240520110001,886.725
20240520111001,804.1149
20240520112001,942.8445
20240520113001,778.7513
20240520114001,707.6007
20240520115001,936.2574
20240520120001,976.65533
20240520121001,799.913
20240520122001,724.2877
20240520123001,848.75757
20240520124001,830.1491
20240520125001,924.7536
20240520130001,799.78613
20240520131001,733.13904
20240520132001,561.0852
20240520133001,482.67825
20240520134001,517.65295
20240520135001,519.5136
20240520140001,317.98
20240520141001,287.1057
20240520142001,261.5761
20240520143001,242.56477
20240520144001,239.81656
20240520145001,191.98987
20240520150001,131.37349
20240520151001,99.25535
20240520152001,185.52533
20240520153001,104.45138
20240520154001,21.714275
20240520155001,31.642193
20240520160001,66.234886
20240520161001,52.38737
20240520162001,0.0
20240520163001,0.0
20240520164001,29.075817
20240520165001,11.039775
20240613090001,193.76436
20240613091001,232.94556
20240613092001,208.32336
20240613093001,169.16174
20240613094001,205.76382
20240613095001,150.33633
20240613100001,155.0207
20240613101001,183.57425
20240613102001,198.81734
20240613103001,164.55904
20240613104001,208.03008
20240613105001,277.6884
20240613110001,185.21399
20240613111001,149.2881
20240613112001,153.81128
20240613113001,79.266716
20240613114001,137.83131
20240613115001,249.00514
20240613120001,181.11615
20240613121001,166.48126
20240613122001,128.47855
20240613123001,111.80634
20240613124001,101.10543
20240613125001,122.42545
20240613130001,59.537518
20240613131001,139.44339
20240613132001,113.69244
20240613133001,50.648296
20240613134001,63.285046
20240613135001,91.32728
20240613140001,126.54337
20240613141001,17.930004
20240613142001,25.893505
20240613143001,29.42149
20240613144001,0.0
20240613145001,0.0
20240613150001,30.528973
20240613151001,0.0
20240613152001,0.0
20240613153001,0.0
20240613154001,0.0
20240613155001,0.0
20240613160001,0.0
20240613161001,0.0
20240613162001,0.0
20240613163001,10.983653
20240613164001,1.6448778
20240613165001,45.37794
20240615090001,234.52519
20240615091001,223.47807
20240615092001,218.84114
20240615093001,136.48315
20240615094001,194.2643
20240615095001,159.484
20240615100001,202.99199
20240615101001,134.97215
20240615102001,261.5078
20240615103001,173.06314
20240615104001,233.90892
20240615105001,202.7525
20240615110001,163.35909
20240615111001,183.73068
20240615112001,180.20358
20240615113001,174.90488
20240615114001,176.50917
20240615115001,277.18387
20240615120001,233.22545
20240615121001,233.15288
20240615122001,204.23169
20240615123001,158.62486
20240615124001,75.3133
20240615125001,269.00085
20240615130001,141.62894
20240615131001,192.02402
20240615132001,108.62646
20240615133001,78.20461
20240615134001,68.00042
20240615135001,97.079094
20240615140001,98.13819
20240615141001,48.931606
20240615142001,56.22349
20240615143001,27.30058
20240615144001,40.18205
20240615145001,0.0
20240615150001,33.796978
20240615151001,0.0
20240615152001,10.140086
20240615153001,0.0
20240615154001,0.0
20240615155001,0.0
20240615160001,0.0
20240615161001,14.219188
20240615162001,0.0
20240615163001,0.0
20240615164001,0.0
20240615165001,21.79298
20240703090001,597.81165
20240703091001,689.23016
20240703092001,771.77484
20240703093001,610.7581
20240703094001,717.17615
20240703095001,653.7124
20240703100001,522.3889
20240703101001,700.8787
20240703102001,561.7186
20240703103001,687.1831
20240703104001,777.28296
20240703105001,736.3225
20240703110001,742.61945
20240703111001,718.7839
20240703112001,697.56433
20240703113001,663.6058
20240703114001,718.82135
20240703115001,623.43866
20240703120001,589.03656
20240703121001,546.96967
20240703122001,487.07104
20240703123001,429.82687
20240703124001,373.1483
20240703125001,504.1246
20240703130001,319.5759
20240703131001,526.66943
20240703132001,533.69495
20240703133001,396.3631
20240703134001,504.91504
20240703135001,551.72534
20240703140001,634.46277
20240703141001,315.33292
20240703142001,412.38446
20240703143001,376.947
20240703144001,293.57132
20240703145001,212.44162
20240703150001,228.78358
20240703151001,389.94968
20240703152001,272.98834
20240703153001,263.02252
20240703154001,407.97824
20240703155001,381.00964
20240703160001,222.3527
20240703161001,212.33464
20240703162001,420.56247
20240703163001,487.1327
20240703164001,383.6541
20240703165001,496.13538
20240707090001,568.02673
20240707091001,617.47144
20240707092001,800.25604
20240707093001,536.47394
20240707094001,544.8427
20240707095001,619.9582
20240707100001,592.1411
20240707101001,519.0653
20240707102001,686.16736
20240707103001,484.05685
20240707104001,646.20074
20240707105001,537.3271
20240707110001,464.20023
20240707111001,631.80396
20240707112001,576.2751
20240707113001,491.6994
20240707114001,361.23917
20240707115001,513.4498
20240707120001,470.50235
20240707121001,475.60275
20240707122001,332.59006
20240707123001,631.2688
20240707124001,279.4231
20240707125001,237.59985
20240707130001,295.8476
20240707131001,231.19122
20240707132001,272.04495
20240707133001,191.00319
20240707134001,241.6957
20240707135001,235.98473
20240707140001,147.11865
20240707141001,192.78944
20240707142001,222.05913
20240707143001,106.84615
20240707144001,138.491
20240707145001,14.4088545
20240707150001,28.589031
20240707151001,0.0
20240707152001,100.92156
20240707153001,75.625786
20240707154001,0.0
20240707155001,61.24789
20240707160001,74.58413
20240707161001,193.5759
20240707162001,116.081474
20240707163001,176.82234
20240707164001,247.93149
20240707165001,210.09502
20240125090002,734.70154
20240125091002,958.73535
20240125092002,682.8151
20240125093002,606.4402
20240125094002,578.8027
20240125095002,630.35876
20240125100002,621.4141
20240125101002,521.9673
20240125102002,546.88617
20240125103002,578.28436
20240125104002,849.3929
20240125105002,800.7427
20240125110002,761.7794
20240125111002,606.5088
20240125112002,544.84644
20240125113002,380.46686
20240125114002,396.6563
20240125115002,726.4723
20240125120002,669.55035
20240125121002,410.41013
20240125122002,302.1569
20240125123002,289.13275
20240125124002,264.51526
20240125125002,191.45033
20240125130002,269.24377
20240125131002,708.42773
20240125132002,204.63597
20240125133002,204.2517
20240125134002,201.67813
20240125135002,210.28131
20240125140002,150.21153
20240125141002,7.643291
20240125142002,36.541058
20240125143002,77.294044
20240125144002,42.385693
20240125145002,54.14439
20240125150002,86.087395
20240125151002,91.13213
20240125152002,146.64241
20240125153002,0.0
20240125154002,0.0
20240125155002,0.0
20240125160002,8.409709
20240125161002,0.0
20240125162002,0.0
20240125163002,9.249431
20240125164002,76.384926
20240125165002,94.435524
20240128090002,983.39276
20240128091002,982.8662
20240128092002,1096.2909
20240128093002,642.53705
20240128094002,678.3118
20240128095002,782.9172
20240128100002,817.1282
20240128101002,480.13956
20240128102002,677.1328
20240128103002,491.27322
20240128104002,840.4586
20240128105002,482.33868
20240128110002,615.17236
20240128111002,610.5902
20240128112002,543.09735
20240128113002,355.08905
20240128114002,263.25854
20240128115002,496.5525
20240128120002,529.15125
20240128121002,333.06915
20240128122002,328.62988
20240128123002,351.52844
20240128124002,214.22975
20240128125002,22.985363
20240128130002,303.18842
20240128131002,200.46788
20240128132002,0.0
20240128133002,76.37664
20240128134002,93.16036
20240128135002,139.77512
20240128140002,45.473278
